asbfly  | Asian Brown Flycatcher
ashdro1 | Ashy Drongo
ashpri1 | Ashy Prinia
ashwoo2 | Ashy Woodswallow
asikoe2 | Asian Koel
asiope1 | Asian Openbill
aspfly1 | Indian Paradise-Flycatcher
aspswi1 | Asian Palm Swift
barfly1 | Black-and-orange Flycatcher
barswa  | Barn Swallow
bcnher  | Black-crowned Night Heron
bkcbul1 | Flame-throated Bulbul
bkrfla1 | Black-rumped Flameback
bkskit1 | Black-winged Kite
bkwsti  | Black-winged Stilt
bladro1 | Black Drongo
blaeag1 | Black Eagle
blakit1 | Black Kite
blhori1 | Black-hooded Oriole
blnmon1 | Black-naped Monarch
blrwar1 | Blyth's Reed Warbler
bncwoo3 | Brown-capped Pygmy Woodpecker
brakit1 | Brahminy Kite
brasta1 | Brahminy Starling
brcful1 | Brown-cheeked Fulvetta
brfowl1 | Brown Fish-Owl
brnhao1 | Brown Boobook
brnshr  | Brown Shrike
brodro1 | Bronzed Drongo
brwjac1 | Bronze-winged Jacana
brwowl1 | Brown Wood-Owl
btbeat1 | Blue-tailed Bee-eater
bwfshr1 | Bar-winged Flycatcher-shrike
categr  | Western/Eastern Cattle-Egret
chbeat1 | Chestnut-headed Bee-eater
cohcuc1 | Common Hawk-Cuckoo
comfla1 | Common Flameback
comgre  | Common Greenshank
comior1 | Common Iora
comkin1 | Common Kingfisher
commoo3 | Eurasian Moorhen
commyn  | Common Myna
compea  | Indian Peafowl
comros  | Common Rosefinch
comsan  | Common Sandpiper
comtai1 | Common Tailorbird
copbar1 | Coppersmith Barbet
crbsun2 | Crimson-backed Sunbird
cregos1 | Crested Goshawk
crfbar1 | Malabar Barbet
crseag1 | Crested Serpent-Eagle
dafbab1 | Dark-fronted Babbler
darter2 | Oriental Darter
eaywag1 | Western Yellow Wagtail
emedov2 | Asian Emerald Dove
eucdov  | Eurasian Collared-Dove
eurbla2 | Indian Blackbird
eurcoo  | Eurasian Coot
forwag1 | Forest Wagtail
gargan  | Garganey
gloibi  | Glossy Ibis
